Mike,Jordan,airman@gmail.com,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,414 W institute Pl.,Chicago,IL,60606
Sam,Toure,bigmiddle@gmail.com,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,415 W institute Pl.,Chicago,IL,60607
Erick,Checkov,churrytree@gmail.com,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,416 W institute Pl.,Chicago,IL,60608
Fyaz,Smith,fiberBali@gmail.com,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,417 W institute Pl.,Chicago,IL,60609
Mike,Jones,whoisMikeJones@gmail.com,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,418 W institute Pl.,Chicago,IL,60610
Vanessa,Burton,Snowbird@gmail.con,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,419 W institute Pl.,Chicago,IL,60611
JP,Singh,thebloooz@gmail.com,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,420 W institute Pl.,Chicago,IL,60612
Alyssa,Lopez,Lyslo@gmail.com,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,421 W institute Pl.,Chicago,IL,60613
Julian,Fiorentina,nespress@gmail.com,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,422 W institute Pl.,Chicago,IL,60614
BaldMike,Berghoff,getaraze@gmail.com,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,423 W institute Pl.,Chicago,IL,60615
Sarah,Li,lindmeyourears@gmail.com,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,424 W institute Pl.,Chicago,IL,60616
Michael,Choi,thechoiisyours@gmail.com,$2b$12$iJZKjFO2/J8FLoyS6NKrq.OR8pMxw4enKvBqWXRtVfAgwCC8W1nJe,425 W institute Pl.,Chicago,IL,60617
